"itemid","label"
227367,"18 Gauge Dressing Occlusive"
225233,"18 Gauge Reason Discontinued"
225234,"18 Gauge Site Appear"
226137,"18 Gauge placed in outside facility"
227368,"20 Gauge Dressing Occlusive"
225230,"20 Gauge Reason Discontinued"
225231,"20 Gauge Site Appear"
226138,"20 Gauge placed in outside facility"
220644,"ALT"
220587,"AST"
224003,"Abdominal Assessment"
224084,"Activity"
224086,"Activity Tolerance"
226512,"Admission Weight (Kg)"
227088,"Admit from"
224641,"Alarms On"
227456,"Albumin"
225612,"Alkaline Phosphate"
227343,"Ambulatory aid"
227073,"Anion gap"
224089,"Anti Embolic Device"
225054,"Anti Embolic Device Status"
225074,"Any fear in relationships"
223876,"Apnea Interval"
224828,"Arterial Base Excess"
220235,"Arterial CO2 Pressure"
220224,"Arterial O2 pressure"
224085,"Assistance Device"
225624,"BUN"
225187,"Back Care"
225313,"Bed Bath"
226105,"Behavior"
224019,"Bladder Irrigation"
224004,"Bowel Sounds"
224056,"Braden Activity"
224059,"Braden Friction/Shear"
224057,"Braden Mobility"
224055,"Braden Moisture"
224058,"Braden Nutrition"
224054,"Braden Sensory Perception"
225634,"CK (CPK)"
225625,"Calcium non-ionized"
225280,"Called Out"
224308,"Capillary Refill L"
223951,"Capillary Refill R"
220602,"Chloride (serum)"
224065,"Circulation/Skin Integrity"
223758,"Code Status"
223903,"Communication"
227350,"Cordis/Introducer Dressing Occlusive"
224297,"Cordis/Introducer Site Appear"
226109,"Cordis/Introducer placed in outside facility"
223991,"Cough Effort"
223905,"Cough Reflex"
223992,"Cough Type"
220615,"Creatinine"
225113,"Currently experiencing pain"
227375,"Daily Wake Up"
223780,"Daily Wake Up Deferred"
224639,"Daily Weight"
224001,"Diet Type"
225637,"Differential-Atyps"
225638,"Differential-Bands"
225639,"Differential-Basos"
225640,"Differential-Eos"
225641,"Differential-Lymphs"
225642,"Differential-Monos"
225643,"Differential-Neuts"
223943,"Dorsal PedPulse L"
223934,"Dorsal PedPulse R"
225106,"ETOH"
223838,"ETT Location"
224415,"ETT Mark (cm)"
224391,"ETT Mark (location)"
227810,"ETT Re-taped"
223837,"ETT Size (ID)"
224832,"ETT Type"
224651,"Ectopy Frequency 1"
224650,"Ectopy Type 1"
224862,"Edema Amount"
224031,"Edema Location"
224076,"Education Barrier"
224072,"Education Learner"
224077,"Education Method"
224075,"Education Readiness"
224079,"Education Response"
224073,"Education Topic"
224006,"Emesis Appearance"
226183,"Estimated Energy Needs/Kg"
226184,"Estimated Protein Needs/Kg"
226871,"Expiratory Ratio"
225184,"Eye Care"
227674,"Face to Face Eval (Non-Violent)"
224024,"Family Communication"
224447,"Family Meeting"
226846,"Feeding Weight"
224692,"Flow Pattern"
224735,"Flow Rate (variable/fixed)"
224865,"Flow Sensitivity"
223910,"Follows Commands"
223875,"Fspn High"
220739,"GCS - Eye Opening"
223901,"GCS - Motor Response"
