"itemid","label"
227367,"18 Gauge Dressing Occlusive"
225233,"18 Gauge Reason Discontinued"
225234,"18 Gauge Site Appear"
226137,"18 Gauge placed in outside facility"
227368,"20 Gauge Dressing Occlusive"
225231,"20 Gauge Site Appear"
226138,"20 Gauge placed in outside facility"
227369,"22 Gauge Dressing Occlusive"
224119,"22 Gauge Site Appear"
226139,"22 Gauge placed in outside facility"
227239,"ABP Alarm Source"
220644,"ALT"
220587,"AST"
224003,"Abdominal Assessment"
224084,"Activity"
224086,"Activity Tolerance"
226512,"Admission Weight (Kg)"
226531,"Admission Weight (lbs.)"
227088,"Admit from"
224641,"Alarms On"
227456,"Albumin"
225612,"Alkaline Phosphate"
227968,"All Medications Tolerated without Adverse Side Effects"
227343,"Ambulatory aid"
220581,"Amylase"
227073,"Anion gap"
224089,"Anti Embolic Device"
225054,"Anti Embolic Device Status"
223876,"Apnea Interval"
225120,"Appetite"
224828,"Arterial Base Excess"
220058,"Arterial Blood Pressure Alarm - High"
220056,"Arterial Blood Pressure Alarm - Low"
220051,"Arterial Blood Pressure diastolic"
220052,"Arterial Blood Pressure mean"
220050,"Arterial Blood Pressure systolic"
220235,"Arterial CO2 Pressure"
225737,"Arterial Line Discontinued"
227292,"Arterial Line Dressing Occlusive"
225210,"Arterial Line Zero/Calibrate"
226107,"Arterial Line placed in outside facility"
220227,"Arterial O2 Saturation"
220224,"Arterial O2 pressure"
224289,"Arterial line Site Appear"
224291,"Arterial line Waveform Appear"
224085,"Assistance Device"
225624,"BUN"
225187,"Back Care"
225313,"Bed Bath"
226105,"Behavior"
223763,"Bladder Pressure"
226473,"Blood Transfusion Consent"
224004,"Bowel Sounds"
224056,"Braden Activity"
224059,"Braden Friction/Shear"
224057,"Braden Mobility"
224055,"Braden Moisture"
224058,"Braden Nutrition"
224054,"Braden Sensory Perception"
225634,"CK (CPK)"
227445,"CK-MB"
225625,"Calcium non-ionized"
224308,"Capillary Refill L"
223951,"Capillary Refill R"
220074,"Central Venous Pressure"
224101,"Chest PT R/L"
220602,"Chloride (serum)"
227951,"Circulation/Skin Integrity"
223758,"Code Status"
223903,"Communication"
225135,"Consults"
224731,"Corneal Reflex Left"
224730,"Corneal Reflex Right"
223991,"Cough Effort"
223905,"Cough Reflex"
223992,"Cough Type"
225188,"Cough/Deep Breath"
220615,"Creatinine"
224417,"Cuff Pressure"
227375,"Daily Wake Up"
223780,"Daily Wake Up Deferred"
224639,"Daily Weight"
225126,"Dialysis patient"
224001,"Diet Type"
225639,"Differential-Basos"
225640,"Differential-Eos"
225641,"Differential-Lymphs"
225642,"Differential-Monos"
225643,"Differential-Neuts"
225651,"Direct Bilirubin"
223943,"Dorsal PedPulse L"
223934,"Dorsal PedPulse R"
225106,"ETOH"
223838,"ETT Location"
224415,"ETT Mark (cm)"
224391,"ETT Mark (location)"
227809,"ETT Position Change"
227810,"ETT Re-taped"
